MountJohn,MOA,R,859,3.49E+14
WIYN,OPTIC,r,625,4.80E+14
Danishtel.,DFOSC,R,648,4.63E+14
VLT,FORS2,V,557,5.38E+14
VLT,FORS2,I,768,3.90E+14
VLT,FORS2,R,655,4.58E+14
HST,ACS,F814W,833,3.60E+14
VLT,FORS1,V,557,5.38E+14
Magellan/Baade,PANIC,K,2179,1.38E+14
VLT,FORS1,R,655,4.58E+14
VLT,FORS1,I,768,3.90E+14
Swope40-in,--,I,0,0
CAHA-2.2m,CAFOS,I,850,3.53E+14
CAHA-2.2m,--,I,850,3.53E+14
CAHA-2.2m,CAFOS,R,650,4.61E+14
CAHA-2.2m,--,R,650,4.61E+14
Magellan/Clay,LDSS3,r,635,4.72E+14
VLT,FORS2,R_c,0,0.00E+00
VLT,FORS1,R_c,0,0
Gemini-N,GMOS,r,630,4.76E+14
Gemini-N,GMOS,i,780,3.84E+14
Gemini-N,GMOS,z,972,3.08E+14
OSN,--,I,889,3.37E+14
NOT,MOSCA,r,680,4.41E+14
NOT,ALFOSC,R,646,4.64E+14
TNG,DOLoRes,R_c,0,0
OSN,--,R,660,4.54E+14
Bok,90Prime,R,700,4.28E+14
Bok,90Prime ,B,440,6.81E+14
WHT,--,K,2221,1.35E+14
TNG,OIG,R_c,0,0
WIYN ,--,R,640,4.68E+14
APO/ARC,NIC-FPS,K,2147,1.40E+14
Swift,UVOT,V,547,5.48E+14
Swift,UVOT,U,347,8.64E+14
Swift,UVOT,white,400,7.50E+14
SMARTS,ANDICAM,R_c,658,4.56E+14
SMARTS,ANDICAM,I_c,780,3.84E+14
Gemini-S,GMOS,r,633,4.74E+14
Swift,UVOT,B,439,6.83E+14
Swift,UVOT,UVW2,193,1.55E+15
Swift,UVOT,UVM2,225,1.33E+15
Swift,UVOT,UVW1,260,1.15E+15
Gemini-N,GMOS,R,0,0
Hale,LFC,r,626,4.79E+14
PROMPT,--,V,0,0
Gemini-S,GMOS,R,0,0
Blanco,ISPI,J,1250,2.40E+14
VLT,ISAAC,J,1250,2.40E+14
Liverpool,--,r,622.5,4.82E+14
Liverpool,--,i,780,3.84E+14
WHT,--,R,660,4.54E+14
TNG,NICS,J,1279,2.34E+14
Gemini-N,GMOS,g,475,6.31E+14
Gemini-N,NIRI,Ks,2150,1.39E+14
Gemini-N,NIRI,J,1250,2.40E+14
Gemini-N,NIRI,H,1650,1.82E+14
ESO/MPG,GROND,r,622,4.82E+14
ESO/MPG,GROND,J,1240,2.42E+14
Keck-I,LRIS,R,642,4.67E+14
Keck-I,LRIS,g,473,6.34E+14
Keck-I,LRIS,B,437,6.86E+14
Gemini-N,NIRI,K_s,2150,1.39E+14
HST,WFPC2,F606W,591,5.07E+14
Loiano,--,R,625,4.80E+14
FaulkesNorth,--,R,641,4.68E+14
P200,LFC,R,630,4.76E+14
ESO/MPG,GROND,g,477,6.29E+14
ESO/MPG,GROND,i,763,3.93E+14
ESO/MPG,GROND,z,913,3.28E+14
Gemini-S,GMOS,i,780,3.84E+14
TNT,--,R,590,5.08E+14
TNT,--,V,720,4.16E+14
TLS,--,I,900,3.33E+14
TLS,--,R,640,4.68E+14
ESO/MPG,GROND,H,1540,1.95E+14
ESO/MPG,GROND,K,2180,1.38E+14
LOAO,--,R,0,0
WIYN,WHIRC,J,1250,2.40E+14
RTT150,TFOSC,R_c,0,0
PROMPT,--,R,0,0
VLT,HAWK-I,K,2146,1.40E+14
VLT,HAWK-I,J,1258,2.38E+14
Magellan,IMACS,r,665,4.51E+14
Magellan,IMACS,R,680,4.41E+14
Magellan,PANIC,J,1215,2.47E+14
Magellan,FourStar,J,1265,2.37E+14
WHT,ACAM,z,980,3.06E+14
WHT,ACAM,i,770,3.89E+14
Magellan,LDSS3,i,785,3.82E+14
GTC,OSIRIS,r,641,4.68E+14
LCO/duPont,WFCCD,R,600,5.00E+14
TNG,DOLORES,r,620,4.84E+14
TNG,--,r,620,4.84E+14
WHT,--,z,1000,3.00E+14
CAHA,DLR-MKIII,V,540,5.55E+14
WHT,ACAM,g,765,3.92E+14
Gemini-S,GMOS,g,475,6.31E+14
UKIRT,WFCAM,K,2200,1.36E+14
UKIRT,WFCAM,J,1250,2.40E+14
Magellan/Baade,IMACS,r,665,4.51E+14
P60,--,r,624,4.80E+14
WHT,ACAM,g,485,6.18E+14
Johnson,RATIR,r,624,4.80E+14
Johnson,RATIR,i,770,3.89E+14
Johnson,RATIR,Z,878,3.41E+14
Johnson,RATIR,Y,1002,2.99E+14
Johnson,RATIR,J,1250,2.40E+14
Johnson,RATIR,H,1635,1.83E+14
TNG,DOLORES,R,644,4.66E+14
iPTF,--,R,658,4.56E+14
MASTER-II,--,--,0,0
Subaru,IRCS+AO188,K',2120,1.41E+14
AAO,--,R,654,4.58E+14
Magellan/Baade,Fourstar,J,1265,2.37E+14
DCT,LMI,r,624,4.80E+14
WHT,ACAM,r,640,4.68E+14
Magellan/Baade,IMACS,i,770,3.89E+14
MMT,MMTCam,r,623,4.81E+14
Keck ,MOSFIRE,K_s,2147,1.40E+14
Keck,MOSFIRE,J,1253,2.39E+14
Nanshan,--,R,635,4.72E+14
CAHA-1.23m,--,I,0,0
Gemini-South,GMOS,r,630,4.76E+14
VLT,HAWK-I,H,1620,1.85E+14
Gemini-North,GMOS,r,630,4.76E+14
