ID-050202,12.6,MountJohn,MOA,R,900,42.89,0
ID-050509B,2.1,WIYN,OPTIC,r,600,0.75,0
ID-050709,34,Danishtel.,DFOSC,R,7200,2.34,0.12
ID-050709,59.1,VLT,FORS2,V,3600,0.64,0.07
ID-050709,59.3,VLT,FORS2,R,3000,0.9,0.05
ID-050709,60,Danishtel.,DFOSC,R,10200,1.17,0.26
ID-050709,104.7,VLT,FORS1,V,3600,0.36,0
ID-050709,134.4,HST,ACS,F814W,6360,0.34,0.006
ID-050709,235.2,HST,ACS,F814W,6360,0.17,0.008
ID-050709,832.8,HST,ACS,F814W,6360,0.02,0
ID-050724A,11.4,VLT,FORS1,V,480,16,0.45
ID-050724A,11.6,Magellan/Baade,PANIC,K,1320,45.6,1.4
ID-050724A,11.8,VLT,FORS1,R,540,17.8,0.7
ID-050724A,11.8,VLT,FORS1,I,540,18.37,0.51
ID-050724A,12,Swope40-in,--,I,1800,19.1,0.2
ID-050724A,14.2,Swope40-in,--,I,1800,25.2,0.9
ID-050724A,34.8,VLT,FORS1,I,540,2.81,0.33
ID-050724A,34.9,Magellan/Baade,PANIC,K,1320,5.4,0
ID-050724A,35,VLT,FORS1,R,540,3.35,0.29
ID-050724A,36.7,Swope40-in,--,I,2700,9.1,0
ID-050724A,83.1,VLT,FORS1,I,540,0.33,0.12
ID-050813,13.2,CAHA-2.2m,CAFOS,I,6000,1.82,0
ID-050813,14.1,CAHA-2.2m,CAFOS,R,4140,1.43,0
ID-050906,21.4,VLT,FORS1,R,1800,0.15,0
ID-051210,19.4,Magellan/Clay,LDSS3,r,1200,1.6,0
ID-051210,43.4,VLT,FORS1,R_c,3600,0.32,0
ID-051221A,3.1,Gemini-N,GMOS,r,0,16.8,1.3
ID-051221A,3.4,Gemini-N,GMOS,r,0,15.6,1.2
ID-051221A,26.9,Gemini-N,GMOS,r,0,2.5,0.19
ID-051221A,27.2,Gemini-N,GMOS,i,0,2.3,0.54
ID-051221A,51,Gemini-N,GMOS,i,0,0.83,0.32
ID-051221A,51.3,Gemini-N,GMOS,z,0,1.1,0.47
ID-051221A,51.6,Gemini-N,GMOS,r,0,0.93,0.11
ID-051221A,75.7,Gemini-N,GMOS,r,0,0.94,0.28
ID-051221A,123.6,Gemini-N,GMOS,r,0,0.5,0.11
ID-051221A,147.8,Gemini-N,GMOS,r,0,0.32,0
ID-060121,0.4,OSN,--,I,120,19.3,4.4
ID-060121,0.7,OSN,--,I,120,10,2.8
ID-060121,2,NOT,ALFOSC,R,0,3.3,0.7
ID-060121,2.5,TNG,DOLoRes,R_c,0,2.1,0.31
ID-060121,2.6,NOT,ALFOSC,R,0,6.1,1.9
ID-060121,2.7,OSN,--,I,300,10.8,2.5
ID-060121,2.8,OSN,--,R,600,3.7,0.97
ID-060121,3.9,CAHA-2.2m,--,R,1200,1.1,0.33
ID-060121,4.4,CAHA-2.2m,--,R,1800,4.6,0.83
ID-060121,5.4,CAHA-2.2m,--,R,1200,1.2,0.49
ID-060121,5.6,Bok,90Prime,R,0,1.1,0.22
ID-060121,6.5,Bok,90Prime,B,0,0.96,0
ID-060121,7.3,Bok,90Prime,R,0,1.2,0.18
ID-060121,7.3,CAHA-2.2m,--,R,1800,1.4,0.37
ID-060121,7.4,WHT,--,K,750,17.1,1.4
ID-060121,7.6,TNG,OIG,R_c,0,1.4,0.37
ID-060121,7.7,OSN,--,I,1500,2.5,0
ID-060121,11.3,Bok,90Prime,R,0,1.6,0.41
ID-060121,13.1,WIYN,--,R,0,1.2,0.24
ID-060121,30,OSN,--,R,10800,0.8,0
ID-060121,31.3,WHT,--,K,1000,6.3,1.6
ID-060121,33.5,APO/ARC,NIC-FPS,K,3600,7.5,0.65
ID-060121,33.6,WIYN,--,R,0,0.41,0.06
ID-060121,51.5,CAHA-2.2m,--,R,5400,0.55,0.14
ID-060121,127.8,APO/ARC,NIC-FPS,K,3600,2.13,0
ID-060313,0.045,Swift,UVOT,V,200,55,18.8
ID-060313,0.12,Swift,UVOT,U,50,22.7,13
ID-060313,0.22,Swift,UVOT,white,50,30.5,11.6
ID-060313,0.64,SMARTS,ANDICAM,R_c,0,23.2,2
ID-060313,0.64,SMARTS,ANDICAM,I_c,0,19.8,5.3
ID-060313,1.2,Gemini-S,GMOS,r,1800,36.6,6.6
ID-060313,1.3,Swift,UVOT,B,886,18.7,5.3
ID-060313,1.5,Swift,UVOT,UVW2,900,6.4,1.9
ID-060313,1.7,Swift,UVOT,V,684,33.7,9.5
ID-060313,2.9,Swift,UVOT,UVM2,900,4.7,2.3
ID-060313,3.1,Swift,UVOT,UVW1,900,12.4,2.4
ID-060313,3.3,Swift,UVOT,U,708,7.4,1.8
ID-060313,4.5,Swift,UVOT,B,886,12.2,5.8
ID-060313,6.1,Swift,UVOT,UVM2,900,3.4,1.2
ID-060313,6.3,Swift,UVOT,UVW1,900,3.3,1.5
