GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma,Beta_X Lower Sigma,Beta_OX,Upper Bound of Sigma_OX,Lower Bound of Sigma_OX
ID-050709,58.33,59.10,0.77,-1.24,0.35,0.35,-0.99,0.02,0.02
ID-050709,61.11,59.10,2.01,-1.24,0.35,0.35,-1.04,0.02,0.02
ID-050709,58.33,59.30,0.97,-1.24,0.35,0.35,-1.02,0.01,0.01
ID-050709,61.11,59.30,1.81,-1.24,0.35,0.35,-1.07,0.01,0.01
ID-050709,58.33,60.00,1.67,-1.24,0.35,0.35,-1.06,0.04,0.03
ID-050709,61.11,60.00,1.11,-1.24,0.35,0.35,-1.11,0.04,0.04
ID-050709,102.78,104.70,1.92,-1.24,0.35,0.35,-0.67,0.00,0.00
ID-050724A,10.28,11.40,1.12,-0.81,0.15,0.15,-0.73,0.04,0.04
ID-050724A,11.39,11.40,0.01,-0.81,0.15,0.15,-0.67,0.04,0.04
ID-050724A,11.67,11.40,0.27,-0.81,0.15,0.15,-0.64,0.04,0.04
ID-050724A,11.67,11.40,0.27,-0.81,0.15,0.15,-0.67,0.04,0.04
ID-050724A,11.39,11.60,0.21,-0.81,0.15,0.15,-0.69,0.03,0.03
ID-050724A,11.67,11.60,0.07,-0.81,0.15,0.15,-0.66,0.03,0.04
ID-050724A,11.67,11.60,0.07,-0.81,0.15,0.15,-0.69,0.03,0.04
ID-050724A,11.39,11.80,0.41,-0.81,0.15,0.15,-0.67,0.04,0.04
ID-050724A,11.67,11.80,0.13,-0.81,0.15,0.15,-0.64,0.04,0.04
ID-050724A,11.67,11.80,0.13,-0.81,0.15,0.15,-0.67,0.04,0.04
ID-050724A,11.39,11.80,0.41,-0.81,0.15,0.15,-0.66,0.03,0.04
ID-050724A,11.67,11.80,0.13,-0.81,0.15,0.15,-0.63,0.03,0.04
ID-050724A,11.67,11.80,0.13,-0.81,0.15,0.15,-0.66,0.03,0.04
ID-050724A,11.39,12.00,0.61,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,11.67,12.00,0.33,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,11.67,12.00,0.33,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,13.06,12.00,1.06,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,13.06,14.20,1.14,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,13.33,14.20,0.87,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,13.33,14.20,0.87,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,14.44,14.20,0.24,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,14.72,14.20,0.52,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-050724A,38.89,36.70,2.19,-0.81,0.15,0.15,-0.00,0.00,0.00
ID-051221A,3.33,3.10,0.23,-1.00,0.20,0.20,-0.68,0.03,0.03
ID-051221A,3.33,3.40,0.07,-1.00,0.20,0.20,-0.66,0.03,0.03
ID-051221A,27.78,26.90,0.88,-1.00,0.20,0.20,-0.80,0.04,0.04
ID-051221A,27.78,27.20,0.58,-1.00,0.20,0.20,-0.76,0.06,0.06
ID-051221A,55.56,51.00,4.56,-1.00,0.20,0.20,-0.65,0.10,0.08
ID-051221A,55.56,51.30,4.26,-1.00,0.20,0.20,-0.67,0.10,0.08
ID-051221A,55.56,51.60,3.96,-1.00,0.20,0.20,-0.69,0.04,0.04
ID-051221A,69.44,75.70,6.26,-1.00,0.20,0.20,-0.68,0.08,0.07
ID-051221A,130.56,123.60,6.96,-1.00,0.20,0.20,-0.72,0.07,0.07
ID-051221A,113.89,123.60,9.71,-1.00,0.20,0.20,-0.73,0.06,0.06
ID-051221A,152.78,147.80,4.98,-1.00,0.20,0.20,-0.69,0.03,0.04
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.29,0.08,0.08
