System,Filter,lambda_eff,R_b
Landolt,U,3508.2,4.334
Landolt,B,4329,3.626
Landolt,V,5421.7,2.742
Landolt,R,6427.8,2.169
Landolt,I,8048.4,1.505
CTIO,U,3733.9,4.107
CTIO,B,4308.9,3.641
CTIO,V,5516.6,2.682
CTIO,R,6520.2,2.119
CTIO,I,8006.9,1.516
UKIRT,J,12482.9,0.709
UKIRT,H,16588.4,0.449
UKIRT,K,21897.7,0.302
UKIRT,"L""",37772.5,0.153
Gunn,g,5200,2.914
Gunn,r,6628.5,2.055
Gunn,i,7898.6,1.555
Gunn,z,9050.1,1.234
Spinrad,R_S,6927.3,1.921
Stromgren,u,3510,4.305
Stromgren,b,4670.5,3.35
Stromgren,v,4119.2,3.793
Stromgren,beta,4861.3,3.183
Stromgren,y,5478.9,2.686
SDSS,u,3586.8,4.239
SDSS,g,4716.7,3.303
SDSS,r,6165.1,2.285
SDSS,i,7475.9,1.698
SDSS,z,8922.9,1.263
DSS-II,g,4620.6,3.381
DSS-II,r,6545.5,2.088
DSS-II,i,8111,1.487
PS1,g,4876.7,3.172
PS1,r,6200.1,2.271
PS1,i,7520.8,1.682
PS1,z,8665.3,1.322
PS1,y,9706.3,1.087
PS1,w,6240.8,2.341
LSST,u,3693.2,4.145
LSST,g,4797.3,3.237
LSST,r,6195.8,2.273
LSST,i,7515.3,1.684
LSST,z,8664.4,1.323
LSST,y,9710.3,1.088
WFPC2,F300W,3087.6,4.902
WFPC2,F450W,4587,3.41
WFPC2,F555W,5439.4,2.755
WFPC2,F606W,5984.8,2.415
WFPC2,F702W,6887.9,1.948
WFPC2,F814W,7940,1.549
WFC3,F105W,10438.9,0.969
WFC3,F110W,11169.7,0.881
WFC3,F125W,12335.5,0.726
WFC3,F140W,13692.3,0.613
WFC3,F160W,15258.3,0.512
WFC3,F200LP,5515.2,2.958
WFC3,F218W,2248.3,7.76
WFC3,F225W,2394,6.989
WFC3,F275W,2742.5,5.487
WFC3,F300X,2934.5,5.228
WFC3,F336W,3366.4,4.453
WFC3,F350LP,5877.1,2.624
WFC3,F390W,3994.8,3.896
WFC3,F438W,4335.3,3.623
WFC3,F475W,4785,3.248
WFC3,F475X,4969.7,3.116
WFC3,F555W,5302.8,2.855
WFC3,F600LP,7362.3,1.781
WFC3,F606W,5868.5,2.488
WFC3,F625W,6225.8,2.259
WFC3,F775W,7630.9,1.643
WFC3,F814W,7983.1,1.536
WFC3,F850LP,9149.7,1.208
ACS,clear,6211.1,2.436
ACS,F435W,4348.3,3.61
ACS,F475W,4760.3,3.268
ACS,F550M,5581,2.62
ACS,F555W,5361.3,2.792
ACS,F606W,5901,2.471
ACS,F625W,6298.1,2.219
ACS,F775W,7673.5,1.629
ACS,F814W,8012.4,1.526
ACS,F850LP,9007.5,1.243
DES,g,4796.6,3.237
DES,r,6382.6,2.176
DES,i,7769,1.595
DES,z,9108.2,1.217
DES,Y,9850.4,1.058
