GRB,T90,Class
190727B,39.2,L
190719C,185.83,L
190718A,704,L
190706B,43.58,L
190701A,52.43,L
190630C,38.38,L
190630B,5.57,L
190627A,2.69,L
190613B,160.82,L
190613A,17.63,L
190611A,41.76,L
190610A,0.63,S
190604B,220.18,L
190519A,44.48,L
190515B,46.51,L
190512A,40.07,L
190511A,27.66,L
190427A,0.19,S
190424A,9.84,L
190422A,269.02,L
190331A,4.34,S
190326A,0.08,Discarded
190324A,22.78,L
190320A,63,L
190311A,13.95,L
190220A,10,L
190219A,167.74,L
190211A,10.9,L
190204A,26.32,L
190203A,86.56,L
190202A,16,L
190123A,25.12,L
190114C,374.72,L
190114B,26.49,L
190114A,67.1,L
190110A,9.3,L
190109B,6.51,L
190109A,115.01,L
190106A,78.1,L
190103B,19.52,L
181228A,255.15,L
181224A,12.49,L
181213A,15.3,L
181203A,15.06,L
181202A,6.56,L
181126A,2.09,S
181125A,10.51,L
181123B,0.26,S
181110A,138.42,L
181103A,9.17,L
181030A,303.2,L
181027A,81.3,L
181023A,56.98,L
181022A,7.94,L
181020A,238.02,L
181016A,111.34,L
181013A,104.21,L
181010A,15.56,L
181003A,25.49,L
181002A,63.41,L
180930A,6.8,L
180925A,82.63,L
180924A,94.82,L
180905A,165.34,L
180904A,4.63,L
180828A,13,L
180823A,80.3,L
180821A,64,L
180818B,137.46,L
180818A,13.71,L
180812A,16.53,L
180809B,233.24,L
180805B,122.24,L
180805A,1.68,L
180728A,8.68,L
180727A,1.06,L
180721A,47.6,L
180720C,122.99,L
180720B,108.4,L
180718A,0.08,Discarded
180715A,0.68,S
180709A,194.81,L
180706A,42.44,L
180705A,106.78,L
180704A,19.66,L
180630A,18.96,L
180626A,30.1,L
180624A,466.65,L
180623A,114.88,L
180620B,223.97,L
180620A,22.95,L
180618A,47.42,L
180614A,7.09,L
180613A,50.82,L
180602A,53.2,L
180514A,31.16,L
180512A,24,L
180510B,134.02,L
180510A,64,L
180504A,115.26,L
180425A,11.9,L
180418A,4.41,L
180411A,77.98,L
180410A,114.8,L
180407A,100.63,L
180404B,111.71,L
180404A,36.28,L
180402A,0.18,S
180331B,78.03,L
180331A,48,L
180329B,213.54,L
180329A,36,L
180325A,92.83,L
180324A,7.22,S
180316A,87,L
180314B,55.42,L
180314A,50.46,L
180311A,23.04,L
180224A,10.92,L
180222A,42.3,L
180221A,11,L
180205A,15.54,L
180204A,1.16,S
180115A,39.14,L
180113A,64,L
180111A,50.89,L
180103A,150.4,L
180102A,11.56,L
171222A,173.87,L
171216A,30.08,L
171212A,304,L
171211A,2.18,L
171209A,161.65,L
171205A,190.47,L
171123A,58.46,L
171120A,64,L
171115A,36.77,L
171103A,4.27,S
171102B,18.88,L
171027A,96.77,L
171020A,41.86,L
171011A,2.28,L
171010B,30.4,L
171007A,68.42,L
171004A,105.54,L
171001A,20.92,L
170921A,28.8,L
170912B,17.88,L
170912A,21.18,L
170906C,45.08,L
170906B,19.2,L
170906A,88.11,L
170903A,27.72,L
170827A,98.62,L
170823A,69.41,L
170822A,64,L
170813A,72.54,L
170810A,152.42,L
170807A,36.32,L
170804A,56.48,L
170803A,3.82,L
170728B,47.68,L
170728A,1.25,L
170724A,98.98,L
170714A,459.22,L
170711A,31.21,L
170710B,54.4,L
170710A,33.12,L
170705A,223.2,L
170629A,34.43,L
170626A,12.95,L
170607A,320,L
170604A,26.53,L
170531B,170.3,L
170531A,32.3,L
170526A,8.31,L
170524B,46.4,L
170524A,0.1,S
170519A,220.25,L
170516A,36.77,L
170428A,0.2,S
170419B,65.86,L
170419A,7.78,L
170405A,165.31,L
170331A,17.62,L
170330A,144.47,L
170325A,0.33,S
170318B,1.07,S
170318A,116.92,L
170317A,11.95,L
170311A,9,L
170307A,29.92,L
170306A,21.01,L
170208B,128.14,L
170208A,7.45,L
170206B,13.36,L
170205A,26.13,L
170203A,45.9,L
170202A,37.76,L
170131A,,Discarded
170127B,0.51,S
170127A,67.38,L
170126A,9.54,L
170115A,32.04,L
170113A,20.3,L
170112A,0.06,Discarded
170111A,29.88,L
170101A,3.1,L
161224A,47.38,L
161220A,7.22,L
161219B,6.93,L
161218A,7.2,L
161217A,12.04,L
161214B,24.9,L
161202A,118.5,L
161129A,35.54,L
161117B,152.31,L
161117A,125.7,L
161113A,43.46,L
161108A,115.84,L
161105A,177.7,L
161104A,0.1,S
161022A,7.25,L
161017A,217.05,L
161014A,23,L
161011A,4.28,L
161007A,157.69,L
161004B,15.72,L
161004A,1.32,L
161001A,2.6,L
160927A,0.49,S
160917A,14.52,L
160912A,207.31,L
160905A,64,L
160827A,14.05,L
160826A,52.62,L
160824A,99.33,L
160821B,0.48,S
160821A,112.64,L
160819A,67.2,L
160815A,8.57,L
160804A,152.74,L
160801A,2.85,L
160726A,0.73,S
160716A,6.39,L
160714A,0.35,S
160712A,44.53,L
160709A,4.8,S
160705B,54.58,L
160703A,45.01,L
160630A,29.55,L
160625A,53.92,L
160624A,0.19,S
160623A,,Discarded
160612A,0.25,S
160611A,35.12,L
160607A,33.49,L
160601A,0.12,S
160525B,0.29,S
160525A,,Discarded
160519A,35.62,L
160506A,260.53,L
160504A,53.96,L
160501A,,Discarded
160425A,304.6,L
160424A,6.46,L
160419A,9.42,L
160417A,14.55,L
160412A,32.18,L
160411A,0.36,S
160410A,96,L
160409A,48,Discarded
160408A,0.32,S
160327A,33.74,L
160325A,61.72,L
160321A,33.48,L
160314A,8.73,L
160313A,41.54,L
160303A,4.98,S
160228A,98.91,L
160227A,316.35,L
160225A,157.46,L
160223A,134.86,L
160220B,31.12,L
160220A,8.26,L
160216A,11,L
160203A,17.44,L
160131A,327.75,L
160127A,6.16,L
160123A,3.95,L
160121A,10.5,L
160119A,120.14,L
160117B,11.54,L
160117A,137,L
160104A,16.56,L
151229A,1.44,L
151228B,48,L
