Wavelength,Transmission
2000,0.001205536
2010,0.001123227
2020,0.001796065
2030,0.001104789
2040,0.001303108
2050,0.000383216
2060,0.001111321
2070,0.00183549
2080,0.000525762
2090,0.001090558
2100,0.001482522
2110,0.001535693
2120,0.001122576
2130,0.001410946
2140,0.000805288
2150,0.001587361
2160,0.001012527
2170,0.00210718
2180,0.001853961
2190,0.000751819
2200,0.001488498
2210,0.00146385
2220,0.001523281
2230,0.001072219
2240,0.001458691
2250,0.000216223
2260,0.00021792
2270,0.000491992
2280,0.001288901
2290,0.0010612
2300,0.001426241
2310,0.000974224
2320,0.000855876
2330,0.001170222
2340,0.000227646
2350,0.00195854
2360,0.000572779
2370,0.001673359
2380,0.001023236
2390,0.001261302
2400,0.001140938
2410,0.000660746
2420,0.001383588
2430,0.000903446
2440,0.002571196
2450,-0.000295073
2460,0.001781762
2470,3.21E-05
2480,0.001608146
2490,0.002546795
2500,0.002523494
2510,0.001792472
2520,0.001089314
2530,0.001389454
2540,0.001670498
2550,0.001181886
2560,0.00167023
2570,0.001173002
2580,0.001499005
2590,0.002737534
2600,0.002125518
2610,0.002016726
2620,0.000506499
2630,0.001324552
2640,0.002627227
2650,0.001969527
2660,0.002725482
2670,0.002108035
2680,0.001938519
2690,0.003415053
2700,0.001053658
2710,0.000311975
2720,0.002694962
2730,0.002322906
2740,0.001063701
2750,0.002908398
2760,0.003168366
2770,0.001569146
2780,0.000915796
2790,0.002932998
2800,0.003888004
2810,0.002952891
2820,0.002282763
2830,0.00163844
2840,0.002321051
2850,0.003026336
2860,0.002042125
2870,0.002198299
2880,0.001775429
2890,0.003561978
2900,0.003921152
2910,0.003290667
2920,0.00150062
2930,0.006672402
2940,0.004529078
2950,0.0041015
2960,0.004168557
2970,0.001763877
2980,0.003939276
2990,0.003144409
3000,0.005499674
3010,0.006851363
3020,0.006097769
3030,0.006120581
3040,0.002475192
3050,0.004224299
3060,0.005320537
3070,0.008314939
3080,0.003073273
3090,0.000918401
3100,0.00327918
3110,0.002165961
3120,0.000155951
3130,0.000133175
3140,0.002050426
3150,-0.001309563
3160,0.003382809
3170,0.001374935
3180,0.002380322
3190,0.002777881
3200,0.002755229
3210,0.000468632
3220,0.002392395
3230,0.001328563
3240,0.001634726
3250,0.002642636
3260,-1.37E-05
3270,0.005512043
3280,-0.000211041
3290,-0.001187568
3300,0.00420464
3310,0.006491269
3320,0.006585438
3330,0.003680305
3340,0.001503432
3350,-0.000356502
3360,0.003217946
3370,0.003343981
3380,0.002619416
3390,0.00503607
3400,-0.000231266
3410,0.000955846
3420,0.001279657
3430,0.00292252
3440,-0.000948269
3450,0.00143565
3460,0.003171755
3470,0.000225687
3480,0.003023399
3490,0.030171074
3500,0.026909614
3510,0.02328996
3520,0.019507473
3530,0.015945364
3540,0.01550963
3550,0.013697797
3560,0.012660627
3570,0.011609171
3580,0.010396221
3590,0.008515154
3600,0.008317198
3610,0.007953442
3620,0.007510563
3630,0.007285403
3640,0.00686779
3650,0.006497814
3660,0.006782619
3670,0.006770129
3680,0.006480358
3690,0.164873272
3700,0.155802757
3710,0.146881342
3720,0.139426515
3730,0.13328971
3740,0.127213866
3750,0.122562528
3760,0.118887134
3770,0.115295105
3780,0.111857779
3790,0.110810623
3800,0.110147916
3810,0.108716033
3820,0.108257599
3830,0.107875258
3840,0.108659044
3850,0.110348314
3860,0.113302901
3870,0.118145682
3880,0.12699315
3890,0.14888972
3900,0.202755556
3910,0.335509002
3920,0.633535385
3930,1.265462637
3940,2.453900099
3950,4.530376911
3960,7.75206995
3970,12.35112286
3980,18.05957031
3990,24.59963989
4000,31.31660271
4010,37.82534027
4020,43.53730774
4030,48.63920975
4040,53.12369537
4050,57.2672081
4060,60.5291481
4070,63.90217972
4080,66.81173706
4090,69.16490173
4100,70.89212799
4110,72.1818924
4120,72.9486084
4130,73.45649719
4140,73.83432007
4150,74.69664001
4160,75.4768219
4170,76.53797913
4180,77.3099823
4190,77.97615051
4200,78.03174591
4210,77.85300446
4220,77.47155762
4230,77.19846344
4240,77.1523819
4250,77.52397156
4260,78.08266449
4270,78.76959229
4280,79.42531586
4290,79.77480316
4300,80.02364349
4310,80.08925629
4320,80.15747833
4330,80.34257507
4340,80.62985229
4350,81.2335434
4360,81.88024139
4370,82.4737854
4380,83.12081909
4390,83.44242859
4400,83.62054443
4410,83.85264587
4420,83.84558868
4430,84.11329651
4440,84.31269836
4450,84.54039764
4460,84.87524414
4470,85.00403595
4480,85.24632263
4490,85.15260315
4500,85.14146423
4510,85.10353088
4520,84.95779419
4530,85.0856781
4540,85.3079071
4550,85.70478058
4560,86.11064911
4570,86.6190033
4580,86.95650482
4590,87.22236633
4600,87.29880524
4610,87.36862183
4620,87.62091827
4630,87.52993011
4640,87.65036011
4650,87.83319855
4660,87.94802094
4670,88.08014679
4680,88.29146576
4690,88.3509903
4700,88.17261505
4710,87.93499756
4720,87.70768738
4730,87.41925812
4740,87.39661407
4750,87.51262665
4760,87.62253571
4770,87.90107727
4780,88.30459595
4790,88.8646698
4800,89.33534241
4810,89.70024872
4820,89.92769623
4830,90.11193085
4840,90.07098389
4850,90.17061615
4860,90.08969879
4870,90.17975616
4880,90.29411316
4890,90.34422302
4900,90.51934814
4910,90.45217133
4920,90.49407196
4930,90.31907654
4940,90.09486389
4950,89.80378723
4960,89.40885162
4970,88.9789505
4980,88.68296051
4990,88.37767029
5000,88.32782745
