Wavelength,Transmission
2000,-0.000106686
2010,-0.000128981
2020,-0.00104037
2030,-0.000431802
2040,-0.000461464
2050,0.000583129
2060,0.000303642
2070,-0.000399829
2080,-2.05E-05
2090,-0.000239614
2100,-0.000445981
2110,-0.000549636
2120,0.000129694
2130,7.24E-05
2140,-0.000356627
2150,-6.70E-09
2160,-0.000773675
2170,-0.000320947
2180,-0.000249359
2190,0.000651864
2200,-0.000355463
2210,0.000432975
2220,0.000573188
2230,0.000191212
2240,0.000252836
2250,-0.000301098
2260,0.000319237
2270,3.21E-05
2280,0.000513561
2290,9.68E-05
2300,-9.74E-05
2310,-0.000391604
2320,0.00027931
2330,0.000124146
2340,0.000543707
2350,0.000595653
2360,0.000429503
2370,8.38E-05
2380,0.000323352
2390,0.001507561
2400,-0.000437731
2410,4.89E-05
2420,0.0009038
2430,-3.76E-05
2440,0.000534811
2450,0.000478384
2460,0.000170589
2470,0.000574439
2480,0.000230249
2490,0.00028927
2500,4.22E-05
2510,0.000327657
2520,0.000116428
2530,0.000237912
2540,0.001102275
2550,-0.000462339
2560,0.000755404
2570,0.000321252
2580,0.000424748
2590,0.001085522
2600,-0.000328656
2610,0.000656476
2620,0.000879
2630,0.000124519
2640,-2.52E-05
2650,0.000434269
2660,-0.000309579
2670,0.000221191
2680,0.000977034
2690,0.000890487
2700,0.001586018
2710,-0.000240278
2720,0.001001053
2730,-5.94E-05
2740,-9.08E-05
2750,0.00041974
2760,-0.000349738
2770,0.000472458
2780,0.00116152
2790,-0.001121229
2800,0.00260806
2810,6.20E-05
2820,0.001308786
2830,0.000597968
2840,-0.000171727
2850,-0.000404951
2860,0.000193846
2870,0.002113503
2880,0.000532219
2890,-0.00051016
2900,0.000550882
2910,-0.000900012
2920,-0.001131773
2930,0.000525076
2940,0.00334078
2950,0.000825916
2960,0.00131452
2970,0.003168665
2980,-0.000694348
2990,0.00071106
3000,0.000795994
3010,9.20E-05
3020,0.000656461
3030,0.001502053
3040,0.001129053
3050,0.002248788
3060,-0.000872121
3070,0.002513918
3080,0.003395443
3090,0.001742747
3100,0.000902145
3110,0.003079732
3120,-7.13E-05
3130,0.001650204
3140,0.002412851
3150,-0.000195401
3160,-0.000172251
3170,0.003347674
3180,0.001057359
3190,0.000940696
3200,0.000320301
3210,0.001135836
3220,0.00464795
3230,0.000576784
3240,-0.00076855
3250,0.001935603
3260,-0.00133774
3270,-0.000150321
3280,0.001361365
3290,-0.001779099
3300,-0.001954904
3310,0.003956645
3320,-0.000206331
3330,0.000163635
3340,-0.000362292
3350,0.000871916
3360,0.000498359
3370,0.001143684
3380,0.00094779
3390,-0.000244637
3400,0.00148348
3410,0.004643499
3420,-0.002827281
3430,0.001449814
3440,0.002718891
3450,-0.001233637
3460,0.001350699
3470,-0.000854421
3480,-8.66E-05
3490,0.263422042
3500,0.228890166
3510,0.190950811
3520,0.157316908
3530,0.127588898
3540,0.107416757
3550,0.097519621
3560,0.088213727
3570,0.077873483
3580,0.068532392
3590,0.058398075
3600,0.049283177
3610,0.043270014
3620,0.038499601
3630,0.034330603
3640,0.031251986
3650,0.028801823
3660,0.026084892
3670,0.023927413
3680,0.02196252
3690,0.000162276
3700,0.000106618
3710,1.97E-05
3720,-0.00012746
3730,0.000372197
3740,0.000283381
3750,0
3760,0.000165143
3770,-0.000322142
3780,-0.001111364
3790,0.000130197
3800,-0.000221721
3810,-0.000466918
3820,-0.000133515
3830,-0.000169476
3840,-0.000202709
3850,-0.000214077
3860,0.000149816
3870,-0.000144378
3880,0.00026205
3890,-5.06E-05
3900,0.000114609
3910,0.000238516
3920,-0.000123554
3930,-0.000165841
3940,7.36E-05
3950,0.000129223
3960,-4.21E-05
3970,0.000316002
3980,-0.000175005
3990,0
4000,0.000116159
4010,0.000177851
4020,6.23E-05
4030,8.56E-05
4040,0.000240608
4050,-0.000248891
4060,-0.000973245
4070,-0.000468032
4080,-0.00084334
4090,-0.00050184
4100,-0.000197108
4110,-0.000290425
4120,-0.000666418
4130,-0.000701955
4140,-0.000321165
4150,-0.000565701
4160,-0.000422065
4170,-0.000589915
4180,-0.000816445
4190,-0.000592549
4200,-0.000166512
4210,-0.000389818
4220,-0.000424548
4230,-0.000119327
4240,-0.000607307
4250,-0.000404934
4260,-0.000646316
4270,-1.87E-05
4280,-3.70E-05
4290,-0.000327901
4300,-7.19E-05
4310,-0.000212625
4320,-0.000332209
4330,-0.000345264
4340,-0.000136338
4350,-0.000100975
4360,-1.66E-05
4370,-0.000131242
4380,-0.000374019
4390,-0.000192737
4400,0.000110881
4410,-0.000234183
4420,-0.000215459
4430,-0.000227605
4440,-7.47E-05
4450,-8.83E-05
4460,0.000188941
4470,0.000257623
4480,7.05E-05
4490,-4.17E-05
4500,-0.000178171
4510,0.000297229
4520,-0.000133044
4530,9.17E-05
4540,9.03E-05
4550,-0.000419256
4560,-0.001370692
4570,-0.001125515
4580,-0.000771716
4590,-0.000556662
4600,-0.000373149
4610,-0.00058658
4620,-0.000649867
4630,-0.000424659
4640,-0.000393651
4650,-0.000590316
4660,-0.000667096
4670,-0.000567579
4680,-0.000386272
4690,-0.000231872
4700,-0.000765723
4710,-0.000590644
4720,-0.000160345
4730,-0.000395675
4740,-0.000606321
4750,-0.000155131
4760,-0.000326906
4770,-0.000191118
4780,-0.000456994
4790,-0.000475135
4800,-0.000455148
4810,-0.000227281
4820,-5.67E-05
4830,-0.00030228
4840,-0.00041483
4850,-3.77E-05
4860,-0.000319118
4870,-0.000225067
4880,-0.000187041
4890,-0.000167701
4900,-0.000185697
4910,-0.000129181
4920,-0.000809701
4930,-0.000366121
4940,-0.000400221
4950,-0.000524861
4960,-0.000269665
4970,-0.000285632
4980,-0.000177203
4990,-1.76E-05
5000,-0.000209325
5010,-0.000242072
5020,-0.000257351
5030,-5.10E-05
5040,-0.000353296
5050,-0.000199733
5060,-0.000214507
5070,-0.00024458
5080,-0.000500297
5090,-0.000143473
5100,-6.29E-05
5110,-0.000140018
5120,-0.000153517
5130,-0.000256918
5140,-0.000208685
5150,-0.000132478
5160,0.000130306
5170,-2.85E-05
5180,-8.42E-05
5190,4.14E-05
5200,0.000176504
5210,-0.000253961
5220,-0.000223187
5230,0.000193766
5240,-0.000127054
5250,8.77E-05
5260,7.40E-05
5270,-0.000170325
5280,0.000216501
5290,-0.000190191
5300,3.53E-05
5310,-9.35E-05
5320,3.49E-05
5330,-6.96E-05
5340,-3.48E-05
5350,0.000185532
5360,0.000197603
5370,0.000140359
5380,0.000223803
5390,3.56E-05
5400,-0.00015616
5410,0.00016989
5420,-0.000122779
5430,0
5440,0.000138869
5450,0.000102364
5460,-0.000246506
5470,9.23E-05
5480,-0.000187264
5490,1.36E-05
5500,-0.000137538
5510,-0.000264936
5520,-0.000155707
5530,-5.74E-05
5540,-0.000305173
5550,-4.42E-05
5560,-0.000193929
5570,0.000195018
5580,3.44E-05
5590,5.81E-05
5600,-9.40E-05
5610,0.000130847
5620,-2.41E-05
5630,0.000218846
5640,1.23E-05
5650,-0.00023712
5660,-0.000289894
5670,-0.000140167
5680,-0.000218453
5690,0.002437671
5700,0.002561355
5710,0.002467422
5720,0.002442263
5730,0.002378319
5740,0.002476143
5750,0.002425088
5760,0.002617433
5770,0.002543831
5780,0.002495242
5790,0.002494576
5800,0.002431844
5810,0.002568274
5820,0.002441161
5830,0.002365072
5840,0.002560545
5850,0.002499952
5860,0.002348345
5870,0.002545235
5880,0.002664953
5890,0.002578904
5900,0.002832807
5910,0.002865207
5920,0.002425126
5930,0.002494201
5940,0.002510278
5950,0.002698941
5960,0.002853778
5970,0.002686186
5980,0.002666846
5990,0.002670562
6000,0.002785438
6010,0.00261946
6020,0.00285384
6030,0.002820104
6040,0.00269278
6050,0.003011111
6060,0.003031191
6070,0.003232405
6080,0.002983424
6090,0.003291731
6100,0.003102001
6110,0.003371347
6120,0.00328968
6130,0.003357881
6140,0.003422955
6150,0.00347773
6160,0.003409668
6170,0.003539132
6180,0.003524338
6190,0.003522617
6200,0.003644923
6210,0.003673209
6220,0.003752723
6230,0.003900971
6240,0.004108594
6250,0.004106203
6260,0.004154678
6270,0.004338009
6280,0.004226426
6290,0.004564849
6300,0.004749989
6310,0.004762806
6320,0.004977938
6330,0.005315264
6340,0.005656593
6350,0.005701657
6360,0.005918168
6370,0.006260516
6380,0.006303872
6390,0.00639661
6400,0.006818055
6410,0.007080269
6420,0.007292522
6430,0.007641837
6440,0.008092066
6450,0.008361492
6460,0.008978427
6470,0.009171976
6480,0.009812747
6490,0.010524356
6500,0.010863591
6510,0.011453656
6520,0.012335843
6530,0.013259532
6540,0.014500977
6550,0.015783839
6560,0.017336696
6570,0.01885188
6580,0.02145141
6590,0.023727167
6600,0.027355831
6610,0.031556349
6620,0.037054162
6630,0.043722302
6640,0.052088335
6650,0.063155323
6660,0.077237934
6670,0.095492825
6680,0.119233966
6690,0.149899378
6700,0.190711573
6710,0.244645491
6720,0.315799505
6730,0.412076294
6740,0.53900522
6750,0.709889293
6760,0.936561108
6770,1.242468953
6780,1.64615643
6790,2.177330971
6800,2.87187624
6810,3.769679785
6820,4.901684284
6830,6.333454609
6840,8.066871643
6850,10.15783501
6860,12.60427094
6870,15.46438789
6880,18.63825989
6890,22.20777321
6900,26.08298111
6910,30.18075562
6920,34.49024963
6930,38.93610764
6940,43.40045547
6950,47.86383057
6960,52.20858383
6970,56.47875595
6980,60.54214096
6990,64.28456879
7000,67.82781219
7010,71.09976196
7020,74.09533691
7030,76.7339325
7040,79.24685669
7050,81.53386688
7060,83.45883179
7070,85.11640167
7080,86.84443665
7090,88.13976288
7100,89.38476563
7110,90.47996521
7120,91.32789612
7130,92.0708847
7140,92.90982819
7150,93.56996155
7160,94.12902832
7170,94.49702454
7180,94.88069916
7190,95.27488708
7200,95.58835602
7210,95.87817383
7220,96.08638
7230,96.33970642
7240,96.42598724
7250,96.59432983
7260,96.68014526
7270,96.85772705
7280,96.88101196
7290,97.01041412
7300,97.04007721
7310,97.14720917
7320,97.20667267
7330,97.20906067
7340,97.22250366
7350,97.2929306
7360,97.32754517
7370,97.34657288
7380,97.37111664
7390,97.34113312
7400,97.38866425
7410,97.30935669
7420,97.27638245
7430,97.29979706
7440,97.40529633
7450,97.25247192
7460,97.26343536
7470,97.15216064
7480,97.23680878
7490,97.26498413
7500,97.23721313
7510,97.10919189
7520,97.09945679
7530,97.04812622
7540,96.99411011
7550,97.01705933
7560,97.01654816
7570,97.14849854
7580,96.99819946
7590,96.99752045
7600,97.01186371
7610,96.98757172
7620,96.90139008
7630,97.08039856
7640,97.13448334
7650,97.06591034
7660,97.14891052
7670,97.19422913
7680,97.204422
7690,97.28362274
7700,97.38758087
7710,97.43730164
7720,97.54144287
7730,97.59628296
7740,97.67555237
7750,97.71305847
7760,97.76763153
7770,97.82814789
7780,97.98017883
7790,97.91730499
7800,97.89516449
7810,97.98220062
7820,98.00879669
7830,97.98322296
7840,98.01557922
7850,98.15885162
7860,97.99706268
7870,98.00643158
7880,98.03212738
7890,98.00653076
7900,98.04084015
7910,98.07661438
7920,98.01475525
7930,97.99530792
7940,98.02423096
7950,98.07444763
7960,98.07006836
7970,98.15041351
7980,98.05249023
7990,98.11588287
8000,98.06585693
8010,98.12039948
8020,98.056633
8030,97.96025085
8040,97.96240997
8050,97.85059357
8060,97.73576355
8070,97.59915924
8080,97.44852448
8090,97.24925995
8100,97.01000214
8110,96.73163605
8120,96.6170578
8130,96.32125854
8140,96.11911011
8150,95.94277954
8160,95.73060608
8170,95.54170227
8180,95.47051239
8190,95.56993103
8200,95.565979
8210,95.43817902
8220,95.4172287
8230,95.20763397
8240,94.85526276
8250,94.04438782
8260,92.71052551
8270,90.78079987
8280,87.79886627
8290,83.86404419
8300,78.69290924
8310,72.44283295
8320,65.45835876
8330,58.09158707
8340,50.49304199
8350,43.08878708
8360,36.28330994
8370,30.22578049
8380,24.97729301
8390,20.47555542
8400,16.83576775
8410,13.776968
8420,11.26177788
8430,9.290413857
8440,7.67525816
8450,6.354967594
8460,5.299356937
8470,4.439565182
8480,3.753831148
8490,3.183605909
8500,2.731495619
8510,2.348712206
8520,2.060070515
8530,1.824383497
8540,1.616741657
8550,1.459813952
8560,1.33819437
