Wavelength,Transmission
2000,0.000632506
2010,0.001312537
2020,-0.000609805
2030,0.000447421
2040,0.000352402
2050,0.000512892
2060,0.000864582
2070,0.000680077
2080,0.00121815
2090,0.001086301
2100,0.0002311
2110,0.000627059
2120,6.29E-05
2130,0.00063113
2140,0.000121065
2150,0.000103983
2160,0.001282982
2170,0.000759007
2180,0.000281324
2190,0.00125877
2200,0.000739224
2210,-0.000407733
2220,0.000202176
2230,0.001052023
2240,0.000510655
2250,-1.34E-05
2260,0.000786726
2270,0.00057036
2280,0.00053136
2290,0.000943071
2300,0.000850801
2310,0.000924109
2320,0.001044791
2330,0.001526588
2340,0.000352305
2350,0.000369339
2360,0.000370424
2370,0.000157351
2380,-0.000128881
2390,0.000562018
2400,0.000624219
2410,0.000773415
2420,0.001211976
2430,0.001195944
2440,0.000940471
2450,0.001281248
2460,0.000861567
2470,0.000669707
2480,0.001666173
2490,0.00127847
2500,0.001129293
2510,0.001951826
2520,0.000638599
2530,0.001442965
2540,0.001325981
2550,0.000819292
2560,0.000797496
2570,0.000745843
2580,0.001047488
2590,0.002084934
2600,0.000869994
2610,0.000550211
2620,0.000800098
2630,0.000256818
2640,0.001102605
2650,-0.000294713
2660,0.00031316
2670,0.000663459
2680,-0.000417925
2690,0.002063035
2700,0.001705416
2710,0.000739643
2720,0.001858705
2730,0.001073996
2740,0.001264521
2750,-6.54E-05
2760,0.000722883
2770,0.001774384
2780,0.000729458
2790,-0.000401362
2800,0.000817935
2810,0.002283296
2820,0.001174247
2830,0.00098376
2840,0.00057245
2850,0.002130388
2860,0.00259257
2870,0.004243088
2880,0.001392436
2890,0.001129162
2900,-0.000162894
2910,0.000895145
2920,0.00309565
2930,0.000747524
2940,0.001501849
2950,0.002239221
2960,-0.000685402
2970,0.001251793
2980,0.001828488
2990,-0.001052213
3000,0.001269829
3010,-0.000666951
3020,0.000611259
3030,0.004421097
3040,0.00223172
3050,0.001693722
3060,0.001420425
3070,0.00080819
3080,0.001005956
3090,0.00024749
3100,0.001540664
3110,0.001033452
3120,0.002950141
3130,0.000759361
3140,0.002295859
3150,0.000881833
3160,0.002600431
3170,0.003269119
3180,0.00137964
3190,-0.000728038
3200,0.002246856
3210,-0.001424537
3220,0.003716376
3230,0.002028054
3240,0.001895993
3250,0.001198004
3260,-2.73E-05
3270,0.001896766
3280,-0.001590839
3290,0.002204352
3300,0.00052873
3310,0.001621586
3320,0.004204164
3330,-0.000435541
3340,0.008389808
3350,-0.00177333
3360,0.000896001
3370,0.003660023
3380,0.00084082
3390,0.000114559
3400,-3.31E-05
3410,-0.001530187
3420,0.003710629
3430,-0.000817184
3440,0.000302207
3450,-0.001758161
3460,-0.002013642
3470,0.001267417
3480,-0.002424337
3490,0.02821305
3500,0.025632123
3510,0.021242214
3520,0.017147003
3530,0.013524299
3540,0.012358257
3550,0.010742644
3560,0.010196893
3570,0.009442169
3580,0.007154472
3590,0.006045914
3600,0.004936401
3610,0.004711128
3620,0.004534837
3630,0.00367614
3640,0.003446233
3650,0.00304915
3660,0.002898127
3670,0.002778086
3680,0.002060179
3690,0.077648647
3700,0.071153358
3710,0.065876834
3720,0.060536943
3730,0.056175731
3740,0.052258082
3750,0.048345558
3760,0.04498598
3770,0.042265881
3780,0.038796622
3790,0.036760651
3800,0.034929074
3810,0.032713745
