Wavelength,Transmission
2000,0.002466177
2010,0.002766005
2020,0.001915072
2030,0.002956618
2040,0.003146892
2050,0.002173204
2060,0.00242815
2070,0.000668054
2080,0.00105129
2090,0.001824291
2100,0.001465891
2110,0.001449984
2120,0.000795048
2130,0.001960293
2140,0.000913825
2150,0.001910523
2160,0.001074823
2170,0.001684842
2180,0.001390936
2190,0.000698864
2200,0.001220447
2210,0.001586606
2220,0.000770714
2230,0.000696821
2240,0.001118094
2250,0.001050677
2260,0.00109767
2270,0.002120732
2280,0.001571832
2290,0.001531246
2300,-0.00021144
2310,0.001802155
2320,0.001421474
2330,0.001985511
2340,0.001830737
2350,0.001357178
2360,0.001891752
2370,0.001668049
2380,0.002332022
2390,0.001677805
2400,0.00319919
2410,0.002339471
2420,0.001719806
2430,0.002989266
2440,0.003351957
2450,0.001931907
2460,0.002144715
2470,0.002602553
2480,0.004107453
2490,0.002385497
2500,0.002220475
2510,0.002623518
2520,0.002438249
2530,0.003189717
2540,0.004030257
2550,0.0027718
2560,0.004000276
2570,0.002736474
2580,0.003073405
2590,0.00311832
2600,0.002323621
2610,0.005359933
2620,0.003735115
2630,0.005632753
2640,0.006570287
2650,0.005227215
2660,0.004279087
2670,0.005817429
2680,0.005653851
2690,0.005689461
2700,0.00505869
2710,0.005692794
2720,0.00453288
2730,0.007961381
2740,0.005565206
2750,0.006191541
2760,0.007488031
2770,0.007208497
2780,0.005093439
2790,0.007895005
2800,0.010226113
2810,0.009647852
2820,0.009639533
2830,0.011023674
2840,0.010441588
2850,0.00958039
2860,0.011729834
2870,0.016743023
2880,0.012384919
2890,0.012399916
2900,0.013438537
2910,0.015068261
2920,0.018239679
2930,0.019527748
2940,0.021625031
2950,0.021386324
2960,0.027226008
2970,0.026592329
2980,0.029000418
2990,0.029774712
3000,0.029014653
3010,0.040962927
3020,0.044697955
3030,0.046538558
3040,0.047291357
3050,0.050951406
3060,0.059528731
3070,0.073720336
3080,0.068697773
3090,0.098205775
3100,0.114069201
3110,0.120760374
3120,0.145284012
3130,0.184412107
3140,0.33571291
3150,1.998665333
3160,6.697121143
3170,13.84106255
3180,23.04621124
3190,35.17430115
3200,49.27210236
3210,64.5059967
3220,77.44262695
3230,84.4106369
3240,87.77536774
3250,89.84029388
3260,90.70294189
3270,91.65820313
3280,91.70922089
3290,92.55515289
3300,92.22911835
3310,93.32933044
3320,92.87688446
3330,92.7462616
3340,92.35138702
3350,93.24978638
3360,94.27986908
3370,94.83620453
3380,94.70472717
3390,94.95278931
3400,95.22921753
3410,95.16040802
3420,95.2551651
3430,96.10730743
3440,95.97009277
3450,95.17399597
3460,95.36612701
3470,95.98165894
3480,96.14447784
3490,95.57553101
3500,95.84151459
3510,95.846138
3520,95.90228271
3530,95.98406982
3540,96.32550812
3550,96.54762268
3560,96.29634857
3570,96.03973389
3580,96.63207245
3590,96.06006622
3600,96.25241852
3610,96.23003387
3620,96.49629211
3630,96.55281067
3640,96.63162994
3650,96.72943115
3660,96.68260956
3670,96.93196106
3680,96.65699005
3690,96.38172913
3700,96.57184601
3710,96.74730682
3720,96.52997589
3730,96.25984192
3740,96.2696991
3750,96.6439209
3760,96.8307724
3770,96.44234467
3780,96.31160736
3790,95.53147888
3800,94.39541626
3810,93.47635651
3820,90.10259247
3830,70.91708374
3840,36.90276718
3850,9.997763634
3860,1.102448583
3870,0.186640322
3880,0.105964243
3890,0.078529276
3900,0.062652424
3910,0.05205185
3920,0.044942968
3930,0.039433867
3940,0.033567388
3950,0.027709225
3960,0.023382107
3970,0.021213382
3980,0.020301204
3990,0.018002983
4000,0.015650727
4010,0.01459444
4020,0.013513219
4030,0.011382842
4040,0.009801221
4050,0.008272982
4060,0.008086746
4070,0.007778719
4080,0.007999909
4090,0.008205014
4100,0.008071164
4110,0.007034832
4120,0.004667864
4130,0.004380017
4140,0.005424524
4150,0.006652779
4160,0.00778569
4170,0.008684588
4180,0.009072101
4190,0.007908044
4200,0.007949761
4210,0.008060341
4220,0.005631207
4230,0.00410397
4240,0.005034122
4250,0.006450256
4260,0.005784119
4270,0.003511302
4280,0.00208512
4290,0.00211006
4300,0.001992888
4310,0.002358764
4320,0.00281989
4330,0.003177805
4340,0.002504837
4350,0.001034303
4360,0.001021762
4370,0.001025586
4380,0.000966003
4390,0.001635151
4400,0.001454073
4410,0.001699054
4420,0.002371524
4430,0.004582791
4440,0.006290251
4450,0.007384493
4460,0.007682553
4470,0.006572978
4480,0.004782819
4490,0.004402788
4500,0.004647741
4510,0.003777083
4520,0.001842838
4530,0.000776919
4540,0.0006235
4550,0.000498949
4560,0.000239314
4570,-0.00085307
4580,-0.000492992
4590,0.000203756
4600,-0.000425845
4610,-0.000614997
4620,0.000121111
4630,-0.000118559
4640,-0.000372592
4650,-2.28E-05
4660,-0.000179008
4670,0
4680,-0.000172574
4690,-0.000148549
4700,-0.000395114
4710,-6.14E-05
4720,2.02E-05
4730,0.000159109
4740,-0.00027546
4750,-0.000195232
4760,-0.00044547
4770,-0.000153953
4780,-0.000134169
4790,-5.73E-05
4800,0.000267044
4810,0.000266957
4820,-0.000190598
4830,-0.00019036
4840,-5.70E-05
4850,-5.69E-05
4860,-0.000472219
4870,0.000132166
4880,-0.000113025
4890,-7.50E-05
4900,0.000879603
4910,0.003774483
4920,0.006941339
4930,0.006259243
4940,0.002987652
4950,0.00172973
4960,0.001431161
4970,0.002121303
4980,0.003733258
4990,0.004921294
5000,0.00419542
5010,0.002453679
5020,0.001832177
5030,0.002686172
5040,0.004097078
5050,0.00458233
5060,0.002939004
5070,0.001624472
5080,0.000779972
5090,0.000465425
5100,0.000460275
5110,0.000391757
5120,0.000464225
5130,0.000365876
5140,0.000255459
5150,0.000860127
5160,0.000848007
5170,0.001841623
5180,0.003463633
5190,0.004285851
5200,0.004404593
5210,0.00496052
5220,0.005892871
5230,0.006510183
5240,0.005759835
5250,0.004089071
5260,0.002719795
5270,0.001847546
5280,0.001355658
5290,0.000742787
5300,0.00071188
5310,0.000318373
5320,0.000492082
5330,0.000607066
5340,0.000793411
5350,0.001214672
5360,0.001312264
5370,0.001474224
5380,0.00078422
5390,0.000885761
5400,0.000714202
5410,0.000733923
5420,0.000940441
5430,0.001066763
5440,0.001158646
5450,0.001354547
5460,0.001464605
5470,0.000902399
5480,0.000942378
5490,0.000382408
5500,0.00048507
5510,0.000716405
5520,0.001411515
5530,0.003006134
5540,0.00365406
5550,0.002804279
5560,0.001172561
5570,0.000729176
5580,0.000335075
5590,1.17E-05
5600,0.000165817
5610,0.000263646
5620,0.000303097
5630,2.45E-05
5640,0.000371646
5650,0.00022562
5660,2.54E-05
5670,0.000218052
5680,-0.000310629
5690,-0.000142877
5700,-7.79E-05
5710,-7.77E-05
5720,-0.000103471
5730,0.000374735
5740,0.000761172
5750,0.000787431
5760,0.001369006
5770,0.001202854
5780,0.001618178
5790,0.001436311
5800,0.001593146
5810,0.001727464
5820,0.002222849
5830,0.002676042
5840,0.00330837
5850,0.004109266
5860,0.004039029
5870,0.003271763
