Wavelength,Transmission
2000,-0.001493556
2010,-0.001369671
2020,0.000323312
2030,8.92E-05
2040,-0.000278517
2050,-6.25E-05
2060,-0.000847732
2070,-0.001156871
2080,-0.000400933
2090,-5.57E-05
2100,-0.000144881
2110,-0.000176397
2120,-0.000378502
2130,-0.000809044
2140,0.000496564
2150,0.000390496
2160,-0.000495455
2170,0.000172969
2180,-0.000169574
2190,6.07E-05
2200,-1.50E-05
2210,-0.000967161
2220,-0.000325918
2230,0.000636274
2240,1.47E-05
2250,-0.000574804
2260,-0.000504076
2270,0.000193763
2280,0.000671861
2290,-0.000314635
2300,6.04E-05
2310,0.000257587
2320,-0.00033525
2330,-1.54E-05
2340,0.000170083
2350,0.000155717
2360,0.000202808
2370,-0.000266898
2380,-0.000172744
2390,0.000299767
2400,-0.000493364
2410,-0.00048043
2420,0.000728445
2430,0.000147269
2440,0.000129795
2450,0.00086235
2460,8.52E-05
2470,0.000321868
2480,3.77E-05
2490,0.000332635
2500,-0.000104302
2510,0.000568987
2520,-0.000175471
2530,-2.76E-05
2540,8.39E-05
2550,-0.000357042
2560,-0.000437518
2570,-0.000564164
2580,0.00025747
2590,0
2600,0.000140548
2610,-0.000541162
2620,1.63E-05
2630,-0.000265954
2640,0.000509022
2650,-0.000106499
2660,-1.20E-05
2670,-0.00058987
2680,7.34E-05
2690,0.000250572
2700,-0.001252743
2710,0.00049928
2720,-0.000591043
2730,-0.00083899
2740,0.001262755
2750,-0.000618947
2760,-0.000501697
2770,0.00013633
2780,0.000431305
2790,0.000803729
2800,6.41E-05
2810,0.000145522
2820,-0.001339571
2830,-0.000699851
2840,0.000429562
2850,-0.001128991
2860,0.001126543
2870,0.002747975
2880,-0.00042647
2890,0.000324307
2900,4.14E-05
2910,0.000618027
2920,0.001811033
2930,-0.001587907
2940,-0.003117737
2950,0.000448155
2960,0.002835097
2970,-0.000385015
2980,0.002100563
2990,0.002451389
3000,-1.19E-05
3010,-0.000681855
3020,0.001732309
3030,-0.000363161
3040,0.000489329
3050,-0.000286221
3060,-0.00292283
3070,-3.21E-05
3080,0.001422427
3090,0.000774076
3100,-0.001919125
3110,-0.001756896
3120,0.001472224
3130,0.00203007
3140,0.001003674
3150,-0.000313483
3160,0.002089588
3170,-0.000364991
3180,0.001352098
3190,-0.002699754
3200,-0.000950923
3210,-0.002228226
3220,-0.000526058
3230,-0.000891133
3240,0.002287512
3250,-0.001406421
3260,-0.003208927
3270,0.00373445
3280,-0.001342182
3290,-0.001955369
3300,-0.002253023
3310,-0.002464174
3320,-0.004145397
