GRB,Telescope/Instrument,Date,dt [days],dt [sec],Filter,Wavelength,Magnitude,Reference,E(B-V)
130313A,Gemini-S/GMOS,2013-03-14,0.62,53568,i,7719.34,>25.7,1,0.09
130313A,NOT/ALFSOC,2013-03-14,0.42,36288,i,8466.91,>23.4,2,0.09
130313A,TNG,2013-03-14,0.56,48384,r,6562.66,>25.0,3,0.09
130822A,Gemini-N/GMOS,2013-08-13,0.88,76032,i,7713.83,>24.5,4,0.03
130822A,UKIRT/WFCAM,2013-08-28,5.69,491616,H,16313,>22.8,1,0.03
130822A,UKIRT/WFCAM,2013-08-29,6.69,578016,J,12483,>22.0,1,0.03
130912A,WHT/ACAM,2013-09-13,0.84,72576,g,4762.28,>24.1,5,0.28
130912A,WHT/LIRIS,2013-09-13,0.88,76032,J,12447.42,>22.1,1,0.28
130912A,HJT/RATIR,2013-09-13,1.04,89856,r,6141.12,>23.3,6,0.28
130912A,HJT/RATIR,2013-09-13,1.04,89856,i,7457.89,>23.3,6,0.28
130912A,HJT/RATIR,2013-09-13,1.04,89856,J,,>22.1,6,0.28
130912A,UKIRT/WFCAM,2013-09-13,1.2,103680,J,12483,22.7 +/- 0.4,1,0.28
130912A,UKIRT/WFCAM,2013-09-13,1.2,103680,H,16313,>22.0,1,0.28
130912A,WHT/LIRIS,2013-09-20,7.71,666144,J,12447.42,>22.8,1,0.28
130912A,Magellan/FourStar,2013-09-24,11.92,1029888,J,12287.96,>23.7,1,0.28
140903A,MMT/MMTCam,2014-09-11,7.53,650592,r,6122.94,>22.6,1,0.03
140903A,MMT/MMTCam,2014-09-11,7.5,648000,i,7591.2,>22.9,1,0.03
141212A,Gemini-N/GMOS,2014-12-13,0.69,59616,i,7713.83,>25.2,1,0.09
141212A,Gemini-N/GMOS,2014-12-14,1.75,151200,i,7713.83,>25.2,1,0.09
150120A,Gemini-N/GMOS,2015-01-20,0.08,6912,i,7713.83,>26.0,1,0.1
150120A,Gemini-N/GMOS,2015-01-20,0.08,6912,r,6224.52,>26.1,1,0.1
150120A,Gemini-N/GMOS,2015-01-20,0.13,11232,z,9571.59,>25.4,1,0.1
150120A,Gemini-N/GMOS,2015-01-22,2.16,186624,r,6224.52,>25.7,1,0.1
150423A,Magellan/IMACS,2015-04-23,0.1,8640,i,7655.05,23.6 +/- 0.1,1,0.03
150423A,WHT/ACAM,2015-04-23,0.67,57888,g,4762.28,>25.2,7,0.03
150423A,HJT/RATIR,2015-04-24,1.06,91584,r,6141.12,>24.8,8,0.03
150423A,HJT/RATIR,2015-04-24,1.06,91584,i,7457.89,>24.7,8,0.03
150423A,HJT/RATIR,2015-04-24,1.06,91584,z,8922.78,>22.0,8,0.03
150831A,ESO/MPG/GROND,2015-08-31,0.53,45792,g 0,4504.49,>24.5,9,0.11
150831A,ESO/MPG/GROND,2015-08-31,0.53,45792,r 0,6097.98,>24.2,9,0.11
150831A,ESO/MPG/GROND,2015-08-31,0.53,45792,i0,7604.74,>23.8,9,0.11
150831A,ESO/MPG/GROND,2015-08-31,0.53,45792,z 0,8929.33,>23.6,9,0.11
150831A,ESO/MPG/GROND,2015-08-31,0.53,45792,J,12246.51,>21.3,9,0.11
160303A,UKIRT/WFCAM,2016-03-04,0.84,72576,J,12483,>22.0,1,0.02
