ID Number,dt_x [hr],dt_o [hr],dt [hr],Beta_x,sigma_x_Up,sigma_x_Low,Beta_ox,sigma_ox_Up,sigma_ox_Low
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.29,0.08,0.08
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.35,0.08,0.08
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.34,0.08,0.08
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.33,0.08,0.08
ID-060121,4.44,4.40,0.04,-1.07,0.16,0.16,-0.39,0.07,0.07
ID-060121,5.00,5.40,0.40,-1.07,0.16,0.16,-0.20,0.12,0.10
ID-060121,5.00,5.40,0.40,-1.07,0.16,0.16,-0.18,0.12,0.10
ID-060121,5.00,5.40,0.40,-1.07,0.16,0.16,-0.29,0.11,0.09
ID-060121,6.11,5.60,0.51,-1.07,0.16,0.16,-0.25,0.07,0.07
ID-060121,6.11,6.50,0.39,-1.07,0.16,0.16,-0.24,0.04,0.05
ID-060313,1.39,1.50,0.11,-0.96,0.09,0.09,-0.19,0.13,0.15
ID-100117A,8.61,8.30,0.31,-1.60,0.30,0.30,-0.75,0.08,0.09
