GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma, Lower Sigma,Beta_OX, Bound of Sigma_OX,Lower Bound of Sigma_OX
ID-050709,58.333333333333336,59.1,0.7666666666666667,-1.24,0.35,0.35,-0.9916873968853349,0.018967782928796993,0.016997014527770644
ID-050709,61.111111111111114,59.1,2.011111111111111,-1.24,0.35,0.35,-1.042476131635745,0.02191836347116977,0.020001737173365914
ID-050709,58.333333333333336,59.3,0.9666666666666667,-1.24,0.35,0.35,-1.0206093051739091,0.009119438883693896,0.008626249170700888
ID-050709,61.111111111111114,59.3,1.8111111111111111,-1.24,0.35,0.35,-1.0700935144639594,0.011994232788354901,0.011553794520745076
ID-050709,58.333333333333336,60.0,1.6666666666666667,-1.24,0.35,0.35,-1.064312418249138,0.0401659800769475,0.032071915691807285
ID-050709,61.111111111111114,60.0,1.1111111111111112,-1.24,0.35,0.35,-1.1138824996656118,0.04304576273800504,0.03500454134015302
ID-050709,102.77777777777777,104.7,1.9222222222222223,-1.24,0.35,0.35,-0.6732125565872762,0.0,0.0
ID-050724A,10.277777777777779,11.4,1.1222222222222222,-0.81,0.15,0.15,-0.7259685060371812,0.03524386037462991,0.04216323046035991
ID-050724A,11.38888888888889,11.4,0.011111111111111112,-0.81,0.15,0.15,-0.674606205762707,0.03505122619933009,0.0418715216345394
ID-050724A,11.666666666666666,11.4,0.26666666666666666,-0.81,0.15,0.15,-0.640604680527761,0.0362241521113064,0.04366118742306484
ID-050724A,11.666666666666666,11.4,0.26666666666666666,-0.81,0.15,0.15,-0.668426121771146,0.036036469810297345,0.043372636177115245
ID-050724A,11.38888888888889,11.6,0.2111111111111111,-0.81,0.15,0.15,-0.6919411554861726,0.02902018461642704,0.03457745980828293
ID-050724A,11.666666666666666,11.6,0.06666666666666667,-0.81,0.15,0.15,-0.66413493520898,0.0299793955945193,0.03604103653886875
ID-050724A,11.666666666666666,11.6,0.06666666666666667,-0.81,0.15,0.15,-0.686887124068068,0.029825910262084133,0.035805061256857396
ID-050724A,11.38888888888889,11.8,0.4111111111111111,-0.81,0.15,0.15,-0.6742879583352682,0.036000375392346504,0.042524809662149
ID-050724A,11.666666666666666,11.8,0.13333333333333333,-0.81,0.15,0.15,-0.6411597735286283,0.03714317431409933,0.04426850729261459
ID-050724A,11.666666666666666,11.8,0.13333333333333333,-0.81,0.15,0.15,-0.6682666118463007,0.036960312695104275,0.043987367580911915
ID-050724A,11.38888888888889,11.8,0.4111111111111111,-0.81,0.15,0.15,-0.662332909689622,0.03323910929971677,0.03972123708380837
ID-050724A,11.666666666666666,11.8,0.13333333333333333,-0.81,0.15,0.15,-0.6300329835858186,0.0343533363827752,0.041421339426878104
ID-050724A,11.666666666666666,11.8,0.13333333333333333,-0.81,0.15,0.15,-0.656462106692892,0.034175046602781624,0.041147228666936285
ID-050724A,11.38888888888889,12.0,0.6111111111111112,-0.81,0.15,0.15,0,0,0
ID-050724A,11.666666666666666,12.0,0.3333333333333333,-0.81,0.15,0.15,0,0,0
ID-050724A,11.666666666666666,12.0,0.3333333333333333,-0.81,0.15,0.15,0,0,0
ID-050724A,13.055555555555555,12.0,1.0555555555555556,-0.81,0.15,0.15,0,0,0
ID-050724A,13.055555555555555,14.2,1.1444444444444444,-0.81,0.15,0.15,0,0,0
ID-050724A,13.333333333333334,14.2,0.8666666666666667,-0.81,0.15,0.15,0,0,0
ID-050724A,13.333333333333334,14.2,0.8666666666666667,-0.81,0.15,0.15,0,0,0
ID-050724A,14.444444444444445,14.2,0.24444444444444444,-0.81,0.15,0.15,0,0,0
ID-050724A,14.722222222222221,14.2,0.5222222222222223,-0.81,0.15,0.15,0,0,0
ID-050724A,38.888888888888886,36.7,2.188888888888889,-0.81,0.15,0.15,0,0,0
ID-051221A,3.3333333333333335,3.1,0.23333333333333334,-1.0,0.2,0.2,-0.67547495476284,0.028812465741193234,0.029594123440272582
ID-051221A,3.3333333333333335,3.4,0.06666666666666667,-1.0,0.2,0.2,-0.6635780996143332,0.028732815985034427,0.02952588366018241
ID-051221A,27.77777777777778,26.9,0.8777777777777778,-1.0,0.2,0.2,-0.8011987318205767,0.03635270151430992,0.039524175800804966
ID-051221A,27.77777777777778,27.2,0.5777777777777777,-1.0,0.2,0.2,-0.7615556508290283,0.06440126504474293,0.0595670075033604
ID-051221A,55.55555555555556,51.0,4.555555555555555,-1.0,0.2,0.2,-0.6450167326129449,0.09674558545673445,0.07512369754038677
