ID Number,dt_x [hr],dt_o [hr],dt [hr],Beta_x,sigma_x_Up,sigma_x_Low,Beta_ox,sigma_ox_Up,sigma_ox_Low
ID-060121,3.06,2.8,0.26,-1.07,0.16,0.16,-0.29,0.08,0.08
ID-060121,3.06,2.8,0.26,-1.07,0.16,0.16,-0.35,0.08,0.08
ID-060121,3.06,2.8,0.26,-1.07,0.16,0.16,-0.34,0.08,0.08
ID-060121,3.06,2.8,0.26,-1.07,0.16,0.16,-0.33,0.08,0.08
ID-060121,4.44,4.4,0.04,-1.07,0.16,0.16,-0.39,0.07,0.07
ID-060121,5.0,5.4,0.4,-1.07,0.16,0.16,-0.2,0.12,0.1
ID-060121,5.0,5.4,0.4,-1.07,0.16,0.16,-0.18,0.12,0.1
ID-060121,5.0,5.4,0.4,-1.07,0.16,0.16,-0.29,0.11,0.09
ID-060121,6.11,5.6,0.51,-1.07,0.16,0.16,-0.25,0.07,0.07
ID-060121,6.11,6.5,0.39,-1.07,0.16,0.16,-0.24,0.04,0.05
ID-060313,1.39,1.5,0.11,-0.96,0.09,0.09,-0.19,0.13,0.15
ID-100117A,8.61,8.3,0.31,-1.6,0.3,0.3,-0.75,0.08,0.09
