GRB,Time,Tpos,Tneg,Flux,Fluxpos,Fluxneg
211227A,63.7306275199495,0.266892466782963,-0.249033570257737,5.44693439222241e-09,8.11984877904774e-10,-8.11984519784139e-10
211227A,64.3187724195035,0.280082496695186,-0.321252432771018,7.96326320051083e-09,9.83026486280392e-10,-9.96759372629704e-10
211227A,64.9650908825346,0.329404120791764,-0.366235966335935,7.79897485120644e-09,9.4994385158927e-10,-9.51597602671378e-10
211227A,65.597736861818,0.390696039190559,-0.303241858491646,6.3435676631916e-09,7.69770134797746e-10,-7.70232842334522e-10
211227A,66.3374318298625,0.302163099458852,-0.348998928853845,7.24414821948859e-09,8.80951947404592e-10,-8.88448418679673e-10
211227A,67.0078148631235,0.341594137853107,-0.368219933802195,6.71782406888604e-09,8.30362569787815e-10,-8.46654652692924e-10
211227A,67.6125019325382,0.263516012377579,-0.263092931561616,9.05683265142322e-09,1.12826770838776e-09,-1.16172764647102e-09
211227A,68.183029221859,0.29788276507179,-0.307011276943214,8.3666822707347e-09,1.06446095622761e-09,-1.11471578292085e-09
211227A,68.7895655601507,0.31576838093514,-0.308653573219857,5.76343616692677e-09,9.31719501000192e-10,-9.67032280171898e-10
211227A,69.4426510274786,0.338752888506534,-0.337317086392758,6.00171697701029e-09,9.83363168700147e-10,-9.57641574555432e-10
211227A,70.2491304285366,0.482451514601465,-0.467726512551536,7.01086219175148e-09,8.53572164061524e-10,-8.62488463832158e-10
211227A,71.1328384593357,0.386869475623655,-0.401256516197648,7.99918880283475e-09,1.09677743635713e-09,-1.02957909271591e-09
211227A,71.8546363283231,0.321521639824255,-0.334928393363654,6.01288319817957e-09,1.06879931501722e-09,-9.72478277931093e-10
211227A,72.635169198949,0.346052715342353,-0.459011230801735,5.81013380415725e-09,9.19698255667781e-10,-8.75145212569838e-10
211227A,80.12,0.254,-0.342,5.637612267e-09,9.02756631e-10,-9.0175848e-10
211227A,80.682,0.361,-0.308,7.70252847e-09,9.93307623e-10,-9.91313757e-10
211227A,81.326,0.29,-0.283,6.041007168e-09,9.36073803e-10,-9.34568964e-10
211227A,81.927,0.306,-0.311,5.605767048e-09,8.6925006e-10,-8.67773844e-10
211227A,82.624,0.384,-0.39,6.52774311e-09,8.59832484e-10,-8.58396462e-10
211227A,83.324,0.313,-0.317,5.495028924e-09,8.45798079e-10,-8.45063625e-10
211227A,84.058,0.454,-0.421,5.741267721e-09,7.49869617e-10,-7.4888121e-10
211227A,84.818,0.311,-0.306,5.524122072e-09,8.7291015e-10,-8.71369989e-10
211227A,85.402,0.356,-0.272,5.877859113e-09,8.95060089e-10,-8.92097304e-10
211227A,86.123,0.426,-0.365,6.50829165e-09,8.72768253e-10,-8.67172761e-10
211227A,86.878,0.319,-0.329,5.343951249e-09,8.47933842e-10,-8.44194582e-10
211227A,87.656,0.402,-0.459,4.019091846e-09,6.50754258e-10,-6.47524731e-10
211227A,88.623,0.437,-0.565,3.404793546e-09,5.677637574e-10,-5.64923625e-10
211227A,89.522,0.461,-0.462,3.747981489e-09,6.2023605e-10,-6.16714203e-10
211227A,90.399,0.365,-0.416,4.841076198e-09,8.14063089e-10,-8.06198463e-10
211227A,91.134,0.493,-0.37,5.768925456e-09,8.98402281e-10,-8.8828131e-10
211227A,92.054,0.388,-0.427,4.80806718e-09,8.2226571e-10,-8.14656864e-10
211227A,92.825,0.339,-0.384,5.423763744e-09,9.35135943e-10,-9.22867029e-10
211227A,93.604,0.408,-0.44,4.684480374e-09,8.06887242e-10,-7.87588032e-10
211227A,94.508,0.527,-0.496,3.886174551e-09,6.72158781e-10,-6.52752387e-10
211227A,95.431,0.432,-0.395,4.735664388e-09,8.41449819e-10,-8.05604688e-10
211227A,96.237,0.439,-0.374,4.818485343e-09,8.56463496e-10,-8.19529473e-10
211227A,97.266,0.426,-0.589,3.799571097e-09,6.94381191e-10,-6.45753759e-10
211227A,98.342,0.584,-0.65,3.172972215e-09,5.731465257e-10,-5.184286674e-10
211227A,99.487,0.632,-0.56,3.286695048e-09,6.09478065e-10,-5.322289119e-10
211227A,100.624,0.5,-0.505,4.080211086e-09,7.80557127e-10,-6.60917859e-10
211227A,101.689,0.476,-0.565,4.501757841e-09,8.47452123e-10,-7.11606147e-10
211227A,102.588,0.439,-0.424,5.833668246e-09,1.07858163e-09,-8.96244594e-10
211227A,103.612,0.517,-0.584,4.068962247e-09,7.67284581e-10,-6.71734308e-10
211227A,104.569,0.455,-0.44,5.23566435e-09,8.72531961e-10,-8.07701475e-10
211227A,105.385,0.427,-0.362,5.944757763e-09,9.29399163e-10,-9.06760806e-10
211227A,106.311,0.556,-0.499,4.311877122e-09,6.99578397e-10,-6.82847949e-10
