GRB,Trigger Number,BAT T90 [sec],XRT RA (J2000),XRT Dec (J2000),XRT Time to First Observation [sec],α,XRT Spectral Index (Gamma),UVOT dt [sec],UVOT Magnitude,Other Observatory Detections,Redshift,T90,Beta_X,Beta_X_neg,Beta_X_pos
211227A,1091101,83.79,08:48:35.73,-02:44:07.1,73.46,-1.189,2.96883,82,V>18.7,"MAXI/GSC, CALET GBM, Konus-Wind",,83.792,2.0,0.6,0.7
211106A,BAT/GUANO,1.75,22:54:20.45,-53:13:49.0,39300,-0.7,,,,"Konus-Wind, Fermi (GBM), IPN, Chandra, GECAM",,1.75,0.1,0.42,1.06
211023B,1080859,1.30,11:21:14.09,39:08:07.2,95.3,-1.03,2.08,98,V>18.8,"CAHA (2.2m), LDT (4.3m), Gemini-North, Sayan/AZT-33IK, Subaru (8.2m)",0.862,1.296,1.12,0.21,0.23
210919A,1073893,0.16,05:21:01.05,01:18:42.1,97.02,,1.88797,100,V>18.7,"CAHA (2.2m), OSN (1.5m)",,0.164,1.1,1.1,3.3
210726A,1061687,0.39,12:53:09.80,19:11:24.7,59.97,-0.7399,2.24209,276,,"Fermi (GBM), Chandra, VLA @ 6 & 10 GHz",,0.388,1.20,0.3,0.32
210725B,1061554,48.00,12:51:41.34,17:06:28.8,90.87,-3.433,1.68998,92,,Fermi (GBM),,418.96,0.9,0.5,0.5
210704A,Fermi,,10:36:05.18,57:12:59.0,53500,-.3,1.49547,53458,V>21.1,,,,0.5,0.4,0.6
210618A,1056426,2.13,15:43:04.75,46:04:08.6,65.29,,,3728,V>19.2,Fermi (GBM),,2.16,1.6,1.4,2.2
210413B,1043009,1.088,,,,,,185000,,,,1.088,,,
210410A,1042113,52.88,17:59:01.05,45:21:42.9,61,-3.372,1.43013,1113,V>17.0,"Fermi (GBM & LAT), Ondrejov D50, AGILE, HJT (1.5m), Konus-Wind, AstroSat CZTI",,52.876,0.45,0.17,0.18
210323A,1038247,1.12,21:11:47.20,25:22:09.5,85.20,-1.687,1.72358,89,V>17.7,"NOT, AZT-33IK (Mondy), Fermi (GBM), Konus-Wind, GTC (10.4m), Gemini-North, Insight-HXMT/HE",,1.124,0.7,0.2,0.2
210217A,1033264,4.22,06:30:20.28,68:43:31.0,97.85,-0.7713,1.97362,103,,"NEXT (0.6m), KAIT (0.76m), Liverpool (2m), Fermi (GBM), DFOT (1.3m), DOT (3.6m)",,4.224,0.93,0.22,0.23
210119A,1017711,0.06,,,,,,,,"Fermi (GBM), MASTER-OAFA, Insight-HXMT/HE, GECAM-B",,0.064,,,
201221D,1014037,0.16,11:24:14.15,42:08:36.6,87.42,,1.28331,92,V>19.2,"NOT, Lowell Discovery Telescope (4.3m), Konus-Wind, GTC (10.4m), Fermi (GBM), MTT, DOT (3.6m)",1.046,0.16,0.1,0.47,1.05
201015A,1000452,9.78,23:37:16.46,53:24:57.7,3214.07,-1.488,2.1574,3217,V>19.3,"MASTER-Tavrida, NOT, GOTO, BOOTES-1B (0.3m), GTC (10.4m), Nanshan/NEXT (0.6m), CrAO/ZTSH (2.6m), MAGIC, Fermi (GBM), FRAM-ORM (25cm), AZT-33IK, AZT-20, NUTTelA-TAO / BSTI, MMT (6.5m), Xinglong (2.16m), HCT (2.0m), VLA @ 6 GHz, SAO RAS (1m), Chandra, EVN @ 5GHz",0.4260.423,9.776,1.1,0.4,0.4
201006A,998907,0.49,04:07:34.20,65:09:52.4,83.94,-0.986,2.11701,88,V>18.9,"INTEGRAL, Fermi (GBM)",,0.492,1.1,0.5,0.6
200917A,996184,19.4,15:42:53.89,-04:42:03.2,100.77,-0.5739,2.25493,104,V>18.9,Fermi (GBM Sub-Threshold),,19.392,1.33,0.24,0.25
200907B,995004,0.83,05:56:06.97,06:54:22.5,80.13,-2.087,1.96454,84,V>17.7,AstroSat CZTI,,0.832,0.8,0.4,0.4
200826A,Fermi,,00:27:08.46,34:01:36.6,59900,-0.9611,1.54702,140000,,,,,0.6,0.6,0.7
200729A,984929,122.0,12:17:30.28,45:35:41.2,140.40,-1.438,1.38469,145,V>17.6,Konus-Wind,,122.0,0.37,0.24,0.26
