GRB,T90 [sec],X-ray,Optical,Temporal matches,Dark
211227A,83.792,101,22,86,83
211106A,1.75,4,13,1,0
211023B,1.296,19,39,32,2
210919A,0.164,2,35,2,0
210726A,0.388,15,5,2,1
210725B,418.96,20,5,5,4
210704A,,5,20,4,0
210618A,2.16,0,0,0,0
210413B,1.088,0,4,0,0
210410A,52.876,66,16,14,0
210323A,1.124,30,18,30,3
210217A,4.224,17,0,0,0
210119A,0.064,0,6,0,0
201221D,0.16,2,20,0,0
201015A,9.776,9,0,0,0
201006A,0.492,6,17,5,0
200917A,19.392,29,0,0,0
200907B,0.832,8,9,4,0
200826A,,7,4,1,0
200729A,122.0,74,0,0,0
200716C,86.572,363,15,3,0
200623A,,0,1,0,0
200522A,0.616,6,24,11,0
200517A,,2,0,0,0
200512A,74.0,47,0,0,0
200411A,0.328,18,13,17,2
200409A,17.912,32,0,0,0
200219A,81.328,112,15,33,32
191031D,0.288,6,27,2,1
190719C,185.688,309,9,130,126
190627A,1.6,41,19,51,0
190610A,0.616,0,1,0,0
190427A,0.192,0,32,0,0
190326A,0.076,0,5,0,0
181126A,2.092,4,10,0,0
181123B,0.26,9,18,5,1
180805B,122.512,74,6,0,0
180805A,1.676,3,1,0,0
180727A,1.056,8,10,8,1
180718A,0.08,0,4,0,0
180715A,0.684,0,20,0,0
180618A,47.36,106,17,64,20
180418A,2.288,19,212,361,0
180402A,0.18,17,14,2,0
180204A,1.164,40,12,39,4
171211A,2.176,18,0,0,0
171007A,105.0,23,0,0,0
170827A,109.34,173,14,124,124
170822A,64.0,113,18,62,51
170728B,47.68,199,45,685,648
170728A,1.252,11,10,6,0
170524A,0.104,0,26,0,0
170428A,0.2,2,30,0,0
170325A,0.3,0,3,0,0
170127B,0.512,5,8,4,1
170112A,0.056,0,15,0,0
161129A,35.54,54,0,0,0
161104A,0.1,2,6,0,0
161004A,3.0,55,16,44,22
161001A,2.604,82,1,4,0
160927A,0.484,11,17,7,1
160821B,0.48,89,96,58,50
160726A,0.728,0,0,0,0
160714A,0.348,0,49,0,0
160624A,0.192,17,31,8,6
160612A,,0,2,0,0
160601A,0.12,4,27,2,0
160525B,0.292,15,14,10,1
160425A,304.584,311,0,0,0
160411A,0.356,3,23,9,0
