GRB,TriggerNumber,Observatory,Instrument,Filter,λ_eff,Time (s),Magnitude,Mag error,Source,E(B-V),Extinction,Flux (Jy)
211227A,1091101,Nanshan/NEXT,UVOT,r,6141.12,90.14,20.0,UL,GCN 31320,0.02,0.046045801442041054,"3.7883017925361034e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,White,3885.68,156.0,20.4,3-sigma,GCN 31316,0.02,0.07968499195093906,"2.7033373557194475e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,White,3885.68,157.0,20.2,3-sigma,GCN 31328,0.02,0.07968499195093906,"3.250126357554174e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,U,3520.95,419.0,20.22,3-sigma,GCN 31328,0.02,0.085911796875,"3.209157024189821e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,White,3885.68,551.5,20.3,3-sigma,GCN 31328,0.02,0.07968499195093906,"2.9641504673657536e-05 (+0.0, -inf)"
211227A,1091101,BOOTES-2/TELMA,UVOT,clear,,600.0,19.9,UL,GCN 31318,0.02,,"nan"
211227A,1091101,Swift,UVOT,B,4346.25,646.0,18.47,3-sigma,GCN 31328,0.02,0.072241,"0.00015882638417657904 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,UVW2,2085.73,782.0,20.73,3-sigma,GCN 31328,0.02,0.17240541798215514,"2.1726432273905393e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,V,5411.43,2773.5,18.69,3-sigma,GCN 31328,0.02,0.055010033112582776,"0.00012765277556901834 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,U,3520.95,2862.5,20.42,3-sigma,GCN 31328,0.02,0.085911796875,"2.6692605485007508e-05 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,UVM2,2245.78,2887.5,22.09,3-sigma,GCN 31328,0.02,0.15546670144131777,"6.112416360548448e-06 (+0.0, -inf)"
211227A,1091101,Swift,UVOT,UVW1,2684.14,3003.0,21.21,3-sigma,GCN 31328,0.02,0.11477051477761839,"1.3241416762219058e-05 (+0.0, -inf)"
211227A,1091101,CAHA,CAFOS,i',7457.89,3657.312,23.4,UL,GCN 31341,0.02,0.03422317429577464,"1.6357446880315231e-06 (+0.0, -inf)"
211227A,1091101,Liverpool,IO:O,g,4794.31,3843.936,21.99,UL,GCN 31323,0.02,0.06478343103448275,"6.165092844464016e-06 (+0.0, -inf)"
211227A,1091101,Liverpool,IO:O,r,6121.47,3996.0,22.62,UL,GCN 31323,0.02,0.04632916250693289,"3.3927973006011248e-06 (+0.0, -inf)"
211227A,1091101,Liverpool,IO:O,i,7590.22,4146.336,22.68,UL,GCN 31323,0.02,0.033148196185286104,"3.1716519838344956e-06 (+0.0, -inf)"
211227A,1091101,Liverpool,IO:O,z,8972.92,4297.536,21.36,UL,GCN 31323,0.02,0.0250234988179669,"1.0617827085336202e-05 (+0.0, -inf)"
211227A,1091101,LCO,Sinistro,R,6312.69,4680.0,22.81,UL,GCN 31321,0.02,0.0442315100591716,"2.8426202986791424e-06 (+0.0, -inf)"
211227A,1091101,LCO,Sinistro,I,8592.35,4680.0,22.42,UL,GCN 31321,0.02,0.026887040115648714,"4.006646850043097e-06 (+0.0, -inf)"
211227A,1091101,VLT,X-shooter,r,6141.12,18176.4,24.7,UL,GCN 31324,0.02,0.046045801442041054,"4.993954365696036e-07 (+0.0, -inf)"
211227A,1091101,Gemini South,GMOS,i,7719.34,198720,26.0,UL,GCN 31376,0.02,0.0322536,"1.4891131161141707e-07 (+0.0, -inf)"
211227A,1091101,Lijiang,2.4m,R,6414.2,587520.0,21.5,UL,GCN 31386,0.02,0.043422123893805314,"9.492816775512359e-06 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,White,3885.68,138.0,21.5,3-sigma,GCN 31317,0.143,0.5697476924492142,"1.541435390386958e-05 (+0.0, -inf)"
211221A,1090472,Assy-Turgen,NUTTelA-TAO,i',7457.89,175.0,17.9,UL,GCN 31285,0.143,0.24469569621478865,"0.00031470564087197076 (+0.0, -inf)"
211221A,1090472,BOOTES-4/MET,ALFOSC,clear,,177.0,19.7,UL,GCN 31279,0.143,,"nan"
211221A,1090472,Assy-Turgen,NUTTelA-TAO,i',7457.89,257.0,18.4,UL,GCN 31285,0.143,0.24469569621478865,"0.00019856583545751596 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,U,3520.95,400.0,21.12,3-sigma,GCN 31317,0.143,0.61426934765625,"2.2789457552173245e-05 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,White,3885.68,536.5,21.9,3-sigma,GCN 31317,0.143,0.5697476924492142,"1.0664127427402185e-05 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,U,3520.95,573.5,21.02,3-sigma,GCN 31317,0.143,0.61426934765625,"2.498814330788866e-05 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,B,4346.25,627.5,19.27,3-sigma,GCN 31317,0.143,0.51652315,"0.00011445519481254129 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,UVM2,2245.78,640.5,19.49,3-sigma,GCN 31317,0.143,1.111586915305422,"0.00016168175514317125 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,UVW2,2085.73,678.0,20.73,3-sigma,GCN 31317,0.143,1.232698738572409,"5.769069146719248e-05 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,V,5411.43,702.5,18.59,3-sigma,GCN 31317,0.143,0.39332173675496684,"0.00019114147965063999 (+0.0, -inf)"
211221A,1090472,Swift,UVOT,UVW1,2684.14,751.5,19.61,3-sigma,GCN 31317,0.143,0.8206091806599713,"0.00011073117826736571 (+0.0, -inf)"
211221A,1090472,KAO,UVOT,V,5445.79,7135.0,22.92,UL,GCN 31503,0.143,0.3923687941772151,"3.5397595863556337e-06 (+0.0, -inf)"
211221A,1090472,KAO,UVOT,R,6414.2,7135.0,22.15,UL,GCN 31503,0.143,0.31046818584070796,"6.671346890013457e-06 (+0.0, -inf)"
211221A,1090472,NOT,ALFOSC,r,6141.12,11520.0,23.5,UL,GCN 31276,0.143,0.32922748031059346,"1.9575697307170136e-06 (+0.0, -inf)"
211221A,1090472,NOT,ALFOSC,z,8922.78,12600.0,23.0,UL,GCN 31276,0.143,0.18061293027950304,"2.7056487851584166e-06 (+0.0, -inf)"
211221A,1090472,MASTER-OAFA ,ALFOSC,C,,13976.0,16.7,UL,GCN 31274,0.143,,"nan"
211221A,1090472,MeerLICHT,ALFOSC,u,3608.04,14543.0,19.97,3-sigma,GCN 31277,0.143,0.6034936533834586,"6.507642851998313e-05 (+0.0, -inf)"
211221A,1090472,MeerLICHT,ALFOSC,i,7457.89,14609.0,20.32,3-sigma,GCN 31277,0.143,0.24469569621478865,"3.387696749317594e-05 (+0.0, -inf)"
211221A,1090472,MeerLICHT,ALFOSC,z,8922.78,14864.0,19.7,3-sigma,GCN 31277,0.143,0.18061293027950304,"5.652901538281428e-05 (+0.0, -inf)"
211221A,1090472,MeerLICHT,ALFOSC,r,6141.12,14895.0,20.67,3-sigma,GCN 31277,0.143,0.32922748031059346,"2.6528777730065635e-05 (+0.0, -inf)"
211221A,1090472,MeerLICHT,ALFOSC,q,,15034.0,21.85,3-sigma,GCN 31277,0.143,,"nan"
211221A,1090472,MeerLICHT,ALFOSC,g,4671.78,15218.0,20.55,3-sigma,GCN 31277,0.143,0.4788637904761905,"3.400726965615296e-05 (+0.0, -inf)"
211207A,1088376,Swift,UVOT,White,3885.68,159.5,18.32,0.04,GCN 31204,0.05,0.19921247987734766,0.00020497988298031456 ± 7.55173796662618e-06
211207A,1088376,Swift,UVOT,U,3520.95,421.5,19.17,0.09,GCN 31204,0.05,0.21477949218750003,9.504691949486891e-05 ± 7.878730318700051e-06
211207A,1088376,Swift,UVOT,B,4346.25,648.0,18.95,0.31,GCN 31204,0.05,0.1806025,0.00011278913056557247 ± 3.220361476581374e-05
211207A,1088376,Swift,UVOT,UVM2,2245.78,962.0,20.39,3-sigma,GCN 31204,0.05,0.38866675360329445,"3.626543994424603e-05 (+0.0, -inf)"
211207A,1088376,Swift,UVOT,UVW1,2684.14,1073.5,20.21,3-sigma,GCN 31204,0.05,0.286926286944046,"3.897595486462965e-05 (+0.0, -inf)"
211207A,1088376,Swift,UVOT,V,5411.43,1111.0,18.49,3-sigma,GCN 31204,0.05,0.13752508278145695,"0.00016559082963288305 (+0.0, -inf)"
211207A,1088376,Swift,UVOT,UVW2,2085.73,1173.0,20.73,3-sigma,GCN 31204,0.05,0.43101354495538785,"2.7569676292423115e-05 (+0.0, -inf)"
211207A,1088376,MASTER-Kislovodsk ,X-shooter,C,,4219.0,14.6,UL,GCN 31183,0.05,,"nan"
211207A,1088376,MASTER-Kislovodsk ,X-shooter,C,,4819.0,15.3,UL,GCN 31183,0.05,,"nan"
211207A,1088376,VLT,X-shooter,r,6141.12,36144.0,22.16,0.05,GCN 31188,0.05,0.11511450360510263,5.521690376704793e-06 ± 2.542832389905827e-07
211106A,Ground Analysis,Swift,UVOT,White,3885.68,48384,24.0,3-sigma,GCN 31079,0.09,0.35858246377922576,"1.2689930232936786e-06 (+0.0, -inf)"
211106A,Ground Analysis,MeerLICHT,GROND,q,,50385.8,21.9,5-sigma,GCN 31063,0.09,,"nan"
211106A,Ground Analysis,Swift,UVOT,White,3885.68,147744.0,23.2,3-sigma,GCN 31079,0.09,0.35858246377922576,"2.6513022136482544e-06 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,g',4504.49,250348.8,24.8,3-sigma,GCN 31069,0.09,0.31312195224130707,"5.824719685772848e-07 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,r',6097.98,250348.8,25.0,3-sigma,GCN 31069,0.09,0.21000554076539107,"4.4058373999980577e-07 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,i',7604.74,250348.8,24.0,3-sigma,GCN 31069,0.09,0.14870398365122614,"1.0459425776434424e-06 (+0.0, -inf)"
211106A,Ground Analysis,La Silla,GROND,z',8929.33,250348.8,22.0,3-sigma,GCN 31069,0.09,0.11353319148936168,"6.389097644626532e-06 (+0.0, -inf)"
